tanggal,sentimen
2022-07-08,Indofood paket takjil tambah poll dpt 5 https://t.co/z0rljrITxY https://t.co/PjCVa0DTs2
2022-07-08,Mantan Bos Indofood Eva Riyanti Hutapea Meninggal Dunia: Mantan CEO Indofood Sukses Makmur Eva Riyanti Hutapea meninggal dunia. https://t.co/6l7FPkkfkn
2022-07-08,Eva tutup usia pada siang hari ini pukul 14.44 di RS Mayapadam Lebak Bulus Jakarta Selatan. Kabar duka ini pun dibenarkan oleh Direktur Eksekutif Aptindo Ratna Sari Loppies. https://t.co/Z3nOAtyi2r
2022-07-08,Peluang Indofood (ICBP) Raup Cuan dari Tren Baru Harga Gandum https://t.co/mCjZePDQCg
2022-07-08,@FFOODFESS beli bumbu indofood yang buat kentang goreng
2022-07-08,Tiga Bulan Bawa Cuan 20% Saham INDF Mau Dibawa ke Mana? https://t.co/uwaB211okU
2022-07-08,@jogjamnfs di pamella banyak itu hot lava tp nek aku tidak doyan si manis bgt saosnya wkwkwk tetep tim indofood ekstra pedas
2022-07-08,@yudiprastiawan Pulpy orange 1l sma snack n sambel indofood kak
2022-07-08,@semangateros @tololmeroket Satu induk cuma beda manajemen kaya Salim group aja ada Indomaret Indofood dll
2022-07-08,lowongan kerja pabrik indofood di rembang https://t.co/kMR40Aurz6
2022-07-08,Belanja persiapan Idul Adha di Yogya Online aja! Bango Kecap Manis Reff 520 ml dan Indofood Bumbu Racik lagi turun harga nih yuk cek produknya hanya di katalog Harga Heran terbaru! #Promo #Iduladha #Yogyaonline
2022-07-10,@FOOD_FESS Indofood dah paling bener
2022-07-10,@FOOD_FESS Indofood/Bamboe tambahin lagi santan kara dan bumbu rempah daunnya (salam serai lengkuas daun kunyit dan daun jeruk).
2022-07-10,@FOOD_FESS Indofood nder udah paling enak
2022-07-10,CIKAMPEK PABRIK INDOFOOD LU MAU DIJADIIN BUMBU BAHHAHAAH
2022-07-10,Aglio Olio dan Milkshake di Booth Rumah Indofood https://t.co/441JfQFLhV
2022-07-10,@nctzenbase Alah paling mamanya g sengaja beli bumbu rendang indofood/sasa HAHAHAHA
2022-07-10,Bro @indofood emang iya ya bumbu instant gulai kalian kena banned di minimarket ?
2022-07-10,@NCTDreamINA Rendang si parahhh uenak banget cuma pake bumbu jadi merk indofood aja enak gimana lagi yang asli padang bisa bisa nangis pas makan hihi
2022-07-10,Sampe jam segini (8.55pm) masih ada buibu yg ketuk2 ke warung rumahku nyariin santan Kara &amp; bumbu indofood gulai untung stoknya banyak. The power of #EidAdhaMubarak 
2022-07-10,@Sambalindofood_ Jawaban: Daging C. #SambalIndofood Yuk teman follow Sambal Indofood @Sambalindofood_ &amp; ikuti giveaway ini ! @NilamAisyah20 @karole_williams @MutaharohN
2022-07-10,@candytuftts Rawon aja kak pke bumbu jadi indofood tinggal tambah daun bawang pas lagi numis bumbunya Udah kelar
2022-07-10,@BadmintonTalk ajay nya @ikamarsella sumringah bgt gemesss zuzan zameh cabang indofood yahaha
2022-07-10,Mie goreng Indofood mendunia
2022-07-10,@indomirebus_ Rata2 saos sambal kayak Indofood ABC itu gak asem sih. Biasanya yg merek nya kagak terkenal itu emang agak asam
2022-07-10,@rlaili_ nasip li. cuma semarga sama yg punya indofood. dia ga kenal sama ayy. cakep juga engga mo jual only fans juga ga laku.
2022-07-10,Pemberian hewan qurban ini merupakan salah satu perwujudan program CSR Indofood yang juga diharapkan dapat memupuk kepekaan sosial antar umat manusia. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Bantuan diberikan kepada warga Desa Cipeundeuy Kecamatan Padalarang dan diterima oleh Ketua RW 02 Bp Atep Yoyon sebagai perwakilan masyarakat setempat. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Penyerahan secara simbolis berupa 4 ekor sapi dan 10 ekor kambing dilakukan oleh perwakilan grup Indofood yaitu Bapak Suharto Divisi HR Noodle Cabang Bandung dan Bapak Denny Suganda Divisi Nutrition &amp; Special Food. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Dalam rangka Hari Raya Idul Adha 1443 H Indofood memberikan bantuan hewan qurban berupa 88 ekor sapi dan 230 ekor kambing kepada masyarakat yang berada di sekitar kantor pabrik dan perkebunan Grup Indofood. #CSRIndofood #IdulAdha #HewanQurban https://t.co/tqungtSRpb
2022-07-10,Pemberian hewan qurban ini merupakan salah satu perwujudan program CSR Indofood yang juga diharapkan dapat memupuk kepekaan sosial antar umat manusia. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Bantuan diberikan kepada warga Desa Cipeundeuy Kecamatan Padalarang dan diterima oleh Ketua RW 02 Bp Atep Yoyon sebagai perwakilan masyarakat setempat. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Penyerahan secara simbolis berupa 4 ekor sapi dan 10 ekor kambing dilakukan oleh perwakilan grup Indofood yaitu Bapak Suharto Divisi HR Noodle Cabang Bandung dan Bapak Denny Suganda Divisi Nutrition &amp; Special Food. #CSRIndofood #IdulAdha #HewanQurban
2022-07-10,Dalam rangka Hari Raya Idul Adha 1443 H Indofood memberikan bantuan hewan qurban berupa 88 ekor sapi dan 230 ekor kambing kepada masyarakat yang berada di sekitar kantor pabrik dan perkebunan Grup Indofood. #CSRIndofood #IdulAdha #HewanQurban https://t.co/rPTaIegfI8
2022-07-10,@collegemenfess cari aja radio koran makanan daerah setempat indofood sosro. gtgt
2022-07-10,JANGAN LUPA 5 JAM LAGI ‼ Debat saham di bidang F&amp;B antara $INDF $ICBP atau $ULTJ manakah yang terbaik? Saksikan live hanya di youtube/apps stockbit dan buat yang gamau kelewatan bisa aktifkan notifications di : https://t.co/UQhz0AWeRB
2022-07-10,Kalo masterchef boleh pake bumbu indofood aku pasti juara 1 https://t.co/LgfaULVUSP
2022-07-10,Indofood paket masak idul adha https://t.co/Ibsv7rOAxl https://t.co/ZXezut38ZF
2022-07-10,Kamu masih bisa ikutan Challenge #MakanDonutSemaumu di Instagram dan masih bisa menang hadiah senilai total jutaan rupiah! Yuk intip Instagram Indofood Ice Cream! #seKULyangkamumau! https://t.co/2jei9hHbnH
2022-07-10,Mantan Presiden Direktur PT Indofood Sukses Makmur (INDF) Farida Eva Riyanti Hutapea meninggal dunia di usia 69 tahun pada Jumat (8/7). https://t.co/etXpodA2bF
2022-07-10,@UGM_FESS saos aku biasanya indofood kalo mayonaise maestro enakkkkk nder
2022-07-10,Selamat Hari Raya Idul Adha 1443 H. Semoga hikmah Qurban senantiasa membawa keikhlasan bagi kita semua. #IdulAdha #HariRayaIdulAdha #Indofood https://t.co/bGhMA9F4kJ
2022-07-10,Selamat Hari Raya Idul Adha 1443 H. Semoga hikmah Qurban senantiasa membawa keikhlasan bagi kita semua. #IdulAdha #HariRayaIdulAdha #Indofood https://t.co/yLM7XSBHbQ
2022-07-10,Yuk Sontek Resep Sukses Berbisnis dari Bos Indofood! https://t.co/VyAGrIso6A
2022-07-12,@LA_7682 @indofood_cbp Kebanggaan bangsa dan negara!
2022-07-12,Gue yg tadinya ga seberapa doyan seblak dicobain Indomie kuah Rasa Seblak Hot Jeletot langsung jatuh cinta pada suapan pertama dong . Sekarang jadi doyan banget . Hello @indofood_cbp @indofood bisa tolong jelaskan kenapa bisa seenak itu ? @Indomielovers https://t.co/pMpN02w45T
2022-07-12,@sevnju Eh abc kok indofood sii
2022-07-12,@sevnju Indofood kak
2022-07-12,Lebih berharga dari emas Love Indomie Indomie..@Indofood_cbp https://t.co/FvgzHyOCM7
2022-07-12,Bikin rendang pake bumbu instan indofood plus bikin acar tanpa cuka diganti jeruk nipis ternyata enak juga
2022-07-12,terimakasih bumbu racik indofood denganmu aku semakin pede masak.. awowkwkwk :)
2022-07-12,@justugly87 @zarazettirazr dan lebih murah dari munik tapi lebih baik dari indofood :)
2022-07-12,@indofood coba pihak indofood untuk produk sarimi isi 2 mie goreng rasa ayam kremess apa iya bumbunya cuma kecap dan bahan pelengkap aja.....!!!lalu gimana rasanya.ini harus jadi bahan pertimbangan ini sangat merugikan konsumen... https://t.co/jzbEivlsl1
2022-07-12,telur 1kg kecap indofood serenteng
2022-07-12,Keputusan terbodoh Indofood adalah mencampurkan saos dengan buah2an
2022-07-12,Masih di rumah Indofood ada bakso bundling pake minuman yang seger banget cuma 15ribuan aja geesss https://t.co/ctR2XQ6u8E
2022-07-12,2. Booth Indofood di sini kamu bisa dapetin oleh-oleh dari Indomilk mulai dari harga 10ribuan aja loh! https://t.co/XJhcVuYvsW
2022-07-12,Akhir2 ini lg suka ngemil tempe yg digoreng sendiri pake Indofood Bumbu Racik kok enak banget yee
2022-07-12,@Sambalindofood_ Jawabannya adalah: Sate C Cuaca panas bikin bad mood Gerah badan nyalahkan kipas Sambal favoritku adalah Sambal Indofood Banyak rasa gak asal pedas Yuk gaes follow @Sambalindofood_ &amp; ikutan! @Zaka_R17 @Ronyklt @bukrene - #SambalIndofood #GakAsalPedas #MakanMakinSelera https://t.co/ridpc7zfXM
2022-07-12,Kenapa ya gw masak indomie ga pernah enak kebanyakan airnya lah. Mungkin usul ke indofood di bungkusnya disediain air kemasan yg ukurannya sesuai dengan ukuran air yg di masak
2022-07-12,@yaemixko Hmm iya juga Kemaren mama abis beli sambel indofood baru pedes banget ya allah Nanti mau coba buat apa gitu ya mungkin 
2022-07-12,sepertinya team indf ud berusaha n lembur unt fixing sap ud bs login si tp lemotbanget
2022-07-12,memang sih ni daging gurih dan minyaknya uhwow tapi gabisa empuk yg mleyot euy jadilai kayak steak mana pake bumbu indofood dan krimer bubuk pengganti santan
2022-07-12,Kayak lo beli indomie goreng jumbo di alfa tapi dtg komplain ke indofood kenapa gak bikin kenyang
2022-07-12,Training kali ini bertemakan Conflict Resolution banyak sekali ilmu baru yang didapat ternyata konflik itu muncul krn perbedaan pendapat hanya 10% dibandingkan 90% adalah intonasi suara gestur tubuh dan pemakaian kata sapaan kamu . Thanks HR Indofood coaches. #1again https://t.co/LgYxHcAfgd
2022-07-12,IHSG Diprediksi Mixed Cermati INDF SAME dan BMTR https://t.co/hPLLqFhK57
2022-07-12,@Sambalindofood_ Jawaban: Daging C. #SambalIndofood Yuk teman follow Sambal Indofood @Sambalindofood_ &amp; ikuti giveaway ini ! @kakapampam @gloriahermawan @anissabayu88
2022-07-13,Lowongan Bagian Tech PM Field PT. Indofood CBP Sukses Makmur Tbk Jakarta https://t.co/D9z0TclpD2
2022-07-13,PT. Indofood CBP Sukses Makmur Tbk Jakarta https://t.co/bzghQP8Yhv
2022-07-13,Lowongan Kerja 2022 PT. Indofood CBP Sukses Makmur Tbk Jakarta https://t.co/GRZ2JXU7ih
2022-07-13,Kalo mau TRGU kayak DCII Yg harus di lalui adalah - di suspend 3 kali - suspend ke 3 nunggu selama 2 bulan - ARB 3x - keep emitennya selama 7 bulan - bulan ke 6 di akuisisi INDF kuat gak nunggu sampe 6 bulan di TRGU? Hahaha.
2022-07-13,@yjhpride indofood
2022-07-13,@yjhpride indofood
2022-07-13,Jajanin aku saham indofood dulu baru aku coriin.
2022-07-13,PROMO TOKOPEDIA NOW HARI INI 13 Juli 2022 Jamur Enoki Impor 1 pack Rp742️https://t.co/FwdhO12FW1 Bango Bumbu Rawon Khas Malang 35 gram Rp3.050️https://t.co/ux19Jl4Af2 Indofood Bumbu Instan Racik Ayam Goreng 26 gram Rp293️https://t.co/fiDdUDREiz .... lanjut ⬇️
2022-07-13,@aintnoprivacy Popa km tega sama anakmu yg msih butuh asi ini? Popa knp kau tk pulang-pulang? Anakmu-anakmu pnggil pnggil nma abang tukang bkso mari-mari sini sy mau saham indofood
2022-07-13,Share dong cara kalian ngebuktiin cinta kalian buat #SambalIndofood yang jawabannya paling unik mimin doain rezekinya banyak biar bisa sering restock Sambal Indofood! #SambalIndofood #GakAsalPedas #MakanMakinSelera
2022-07-13,Kalo meja makan kamu estetik tapi #SambalIndofood sampe dibalik congrats! Kamu Tim Sambal Indofood sejati!Saking sukanya sampe gak mau nyisain setetes pun! Mungkin ini tandanya kamu udah harus beli botol #SambalIndofood yg baru (tapi beli sendiri ya bukan mimin yang beliin) https://t.co/Hno0JPR6bz
2022-07-13,@cursedkidd sirup marjan yg melon sm cuka sm kecap sm saos Indofood sm sambel terasi aduk aduk trs km ksih jeruk nipis wil
2022-07-13,Gara-gara hadiah wadidaw. Satu supermarket digeruduk massa. Indofood Big Grab 1992 Sumber: Widiajier https://t.co/uSIKENla6x
2022-07-13,Meet and Greet Jakarta Kemayoran 2022 Indofood Hadirkan Pemain Persija https://t.co/zWCOBFuUyb
2022-07-13,PT Indofood Kembali Gelar Acara Meet and Greet Bersama Persija Setelah Terhalang Pandemi Covid-19 https://t.co/bAepZHZO5u
2022-07-13,PT Indofood Kembali Gelar Acara Meet and Greet Bersama Persija Setelah 2 Tahun https://t.co/SH2kQ0YHZI
2022-07-13,PT Indofood Kembali Gelar Acara Meet and Great bersama Persija Setelah 2 Tahun https://t.co/3dfL4m0jGD
2022-07-13,@schfess bagus gaiisss. kk aku lulusan tekpang kerja di Indofood
2022-07-14,@tanyakanrl Masak rendang aja nder pake bumbu indofood
2022-07-14,@ssongretriever @indofood INDOMIE CABE IJO JUGAAK
2022-07-14,@sbyfess Saham Indofood
2022-07-14,@sbmptnfess Tekpang bisa kerja di industri besar kayak Mayora (Teh pucuk) Danone (Aqua) Wings Group (Mie sedaap) Indofood (Indomie) Orang Tua (Montea) Garuda Food (Gery dkk). Sebenarnya Kimia juga bisa tpi lebih diutamakan Tekpang kalau daftar kerjanya
2022-07-14,@ssongretriever @indofood Ak jg ingin agar stiap hri mmkan indomie rendank
2022-07-14,@uyongf @indofood Daftar jadi ba Indomie dimana ya
2022-07-14,@ssongretriever @indofood ASIQQQ JD BA INDOMIE
2022-07-14,@uyongf @indofood Di traktir indofood
2022-07-14,@uyongf @indofood 10 dus dong
2022-07-14,@ssongretriever @indofood Nnti ak bli sepuluh yhhh
2022-07-14,@uyongf @indofood @indofood rikues indomie rasa kebuli atau briyani
2022-07-14,@ssongretriever @indofood BANTU TAG AJ YHH BIAR DI KABULKAN
2022-07-14,@uyongf @indofood Ya briyani juga gapapa enak jugaa
2022-07-14,@ssongretriever @indofood EH KEBULI
2022-07-14,@ssongretriever @indofood P MIN RIKUES INDOMIE BRIYANI
2022-07-14,Jadi ceritanya ikut lomba #CeritadanRasaIndomie dlm rangka HUT Indofood ke-50. Kl berkenan boleh bantu pencet di bawah artikelnya. Ya kali aja menang. Thanks ygy. Retweet will be apreciated. https://t.co/ThSrwdG0fm @ArumBene @fefeniaku @Hegie_bae @WSetyorini2 @PartaiSocmed
2022-07-14,@ddkkahs @indofood ngawor.. garuda
2022-07-14,Masak rendang buat makan malem eh mertua dateng akhirnya makan bareng bilang katanya enak bgt besoknya minta dibikinin rendang. Dia tidak tau kalo aku masaknya pake bumbu racik rendang indofood HAHAHA
2022-07-14,Kabar Baik Diplomasi Gandum Rusia-Ukraina untuk INDF dan ICBP https://t.co/wM8aQ9sxQR
2022-07-14,Lowongan Kerja PT Indofood CBP Sukses Makmur Tbk Noodle Division Lokasi Medan https://t.co/vrzTKhhSq1 https://t.co/M9vLjW6Nko
2022-07-15,@Indomielovers @misfeast @yamikillua @bangopang_ @ardibhironx @haenisari @b_ettyx @tempeultra @aipsun @AndryWaseso Min @Indomielovers skrg harga indomie naik ya? Aku jadi langganan mie sakura dah. Gpp kan? Kan sama-sama dari indofood 
2022-07-15,@gagituisal @barcastuff_idn Deket PT Indofood
2022-07-15,Demi mengurangi produksi plastik kalau memang belum mampu membuat inovasi kemasan ramah lingkungan mending kemasan Chitatonya dibuat ngepas aja nggak sih @indofood? Atau paling tidak ruang kosongnya tidak sampai sebanyak ini. Masa ruang kosong 3/4 sementara isinya cuma 1/4. https://t.co/iQ7lC97zEq
2022-07-15,dahal sebenernya emang bedaaa kan udah diklarif jg ama indofood tp gatau knp kmrn itu sama isinya 
2022-07-15,@masrevitanf Wah kerupuk rambak. Dicocol sama saos Indofood enak bgt bun.
2022-07-15,@Indomielovers Kira kira Nagita Slavina bakalan beli saham Indofood kaga ya?
2022-07-15,@Indomielovers @misfeast @yamikillua @bangopang_ @ardibhironx @haenisari @b_ettyx @tempeultra @aipsun @AndryWaseso Justru ga pengen di endorse tapi pengen di tambahkan rejeki biar bisa beli INDF 100lot di ipot gpp walau lagi anjlok hari ini tapi siapa tau hok ha hok e besok https://t.co/lufXqIn2oo
2022-07-15,@Askrlfess Kobe pedess sama indofood yg bumbunya pasta bukan bubuk
2022-07-15,@chyni_sdc Merek indofood
2022-07-15,@Indomielovers Saya kangen Indomie sate coba tolong bilang ke ordal Indofood divisi noodle buat bikin flavour itu balik lagi
2022-07-15,Iki sponsore mung 3? Yakin kih? Satu brand tok atas nama indofood?
2022-07-15,@FOOD_FESS Indofood
2022-07-15,Selain itu sponsor-sponsor musim lalu seperti Indofood dan Smartfriend masih akan ada di jersey Bali United musim ini.
2022-07-15,@PSSleman Indofood dadi sponsor setia man?
2022-07-15,@RhomaIriandhika @PSSleman Sing deal gek indofood po ya? 
2022-07-15,Lowongan Kerja Tamatan D3/S1 Untuk Posisi: Sales Trainee Technical Field Accounting Staff Di PT. Indofood CBP Sukses Makmur Tbk Penempatan: Medan Juli 2022 https://t.co/n7SdmQGPVs
2022-07-15,Jika menemukan hal yang mencurigakan atau kurang meyakinkan terkait informasi lowongan/seleksi rekrutmen di PT Indofood silahkan mengkonfirmasikannya melalui Layanan Konsumen Indofood bisa melalui layanan telepon (bebas pulsa) chat Whatsapp maupun email.
